,artists,track_name,album_name,y_target
109283,York;Kryder,On The Beach - Kryder Remix,On The Beach (Kryder Remix),0
44440,Bush,Machinehead - Remastered,Sixteen Stone (Remastered),0
84969,The Beatles,You're Going To Lose That Girl - Remastered 2009,Help! (Remastered),1
84106,The Beatles,Come Together - Remastered 2009,Abbey Road (Remastered),1
11179,The Beatles,Hey Jude - Remastered 2009,The Beatles 1967 - 1970 (Remastered),1
11171,The Beatles,Let It Be - Remastered 2015,1 (Remastered),1
99789,Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,1
84717,The Beatles,I Me Mine - Remastered 2009,Let It Be (Remastered),1
84152,The Beatles,Don't Let Me Down - Remastered 2009,The Beatles 1967 - 1970 (Remastered),1
84367,The Beatles,I Feel Fine - Remastered 2015,1 (Remastered),1
84288,The Beatles,Penny Lane - Remastered 2009,Magical Mystery Tour (Remastered),1
11718,The Rolling Stones,Wild Horses,Hot Rocks (1964-1971),1
11498,The Rolling Stones,Brown Sugar - 2009 Remaster,Sticky Fingers (Remastered),1
84550,The Beatles,Julia - Remastered 2009,The Beatles (Remastered),1
92260,The Righteous Brothers,You've Lost That Lovin' Feelin' - Single Version,You've Lost That Lovin' Feelin',1
19919,Bob Dylan,Mr. Tambourine Man,Bringing It All Back Home,1
11357,The Beatles,Yesterday - Remastered 2015,1 (Remastered),1
80211,Neha Kakkar;Rohanpreet Singh;Showkidd,Baarish Mein Tum,Baarish Mein Tum,1
84838,The Beatles,Please Mister Postman - Remastered 2009,With The Beatles (Remastered),1
84774,The Beatles,No Reply - Remastered 2009,Beatles For Sale (Remastered),1
84282,The Beatles,Tomorrow Never Knows - Take 1,Tomorrow Never Knows (Take 1),1
11314,The Beatles,Day Tripper - Remastered 2015,1 (Remastered),1
107612,Culture Club,Karma Chameleon,At Worst...The Best Of Boy George And Culture Club,1
84637,The Beatles,And Your Bird Can Sing - Remastered 2009,Revolver (Remastered),1
84528,The Beatles,I'm Looking Through You - Remastered 2009,Rubber Soul (Remastered),1
77104,Péricles,Eu Te Amo - Ao Vivo,Pagode do Pericão (Ao Vivo),1
84309,The Beatles,I Want You (She's So Heavy) - Remastered 2009,Abbey Road (Remastered),1
539,Boyce Avenue,Someone Like You,"Cover Sessions, Vol. 2",1
84563,The Beatles,I've Got A Feeling - Remastered 2009,Let It Be (Remastered),1
84603,The Beatles,Oh! Darling - 2019 Mix,Abbey Road (Super Deluxe Edition),1
11432,The Beatles,Eight Days A Week - Remastered 2009,Beatles For Sale (Remastered),1
34635,Bob Dylan,Like a Rolling Stone,Highway 61 Revisited,1
11377,The Rolling Stones,"Paint It, Black - Mono",The Rolling Stones In Mono (Remastered 2016),1
84371,The Beatles,Taxman - 2022 Mix,Taxman (2022 Mix),1
11388,Simply Red,If You Don't Know Me by Now - 2008 Remaster,A New Flame (Expanded Version),1
11771,The Beatles,Two Of Us - Remastered 2009,Let It Be (Remastered),1
11477,The Beatles,I Feel Fine - Remastered 2015,1 (Remastered),1
84427,The Beatles,Maxwell's Silver Hammer - Remastered 2009,Abbey Road (Remastered),1
84053,The Beatles,Let It Be - Remastered 2009,Let It Be (Remastered),1
84523,The Beatles,Taxman - Remastered 2009,Revolver (Remastered),1
8539,Rainbow,Since You Been Gone,Down To Earth,1
84291,The Beatles,Get Back - Remastered 2009,Let It Be (Remastered),1
11428,The Beatles,I Am The Walrus - Remastered 2009,Magical Mystery Tour (Remastered),1
14716,Elizabeth Mitchell,You Are My Sunshine (Version 1),You Are My Sunshine,1
11930,The Beatles,I Me Mine - Remastered 2009,Let It Be (Remastered),1
80367,Neeti Mohan,Nainowale Ne,Padmaavat,1
84604,The Beatles,Here Comes The Sun - 2019 Mix,Abbey Road (Super Deluxe Edition),1
84231,The Beatles,Back In The U.S.S.R. - Remastered 2009,The Beatles (Remastered),1
84155,The Beatles,And I Love Her - Remastered 2009,A Hard Day's Night (Remastered),1
84625,The Beatles,Paperback Writer - Remastered 2015,1 (Remastered),1
15306,Audrey Mika,Y U Gotta B Like That,Y U Gotta B Like That,1
11059,The Beatles,Blackbird - Remastered 2009,The Beatles (Remastered),1
11830,The Rolling Stones,Play With Fire - Mono Version,Out Of Our Heads,1
11226,The Beatles,A Hard Day's Night - Remastered 2009,A Hard Day's Night (Remastered),1
84853,The Beatles,Help! - Remastered 2015,1 (Remastered),1
80225,KK,"Ajab Si (From ""Om Shanti Om"")",Zindagi Do Pal Ki - K.K. All Time Hits,1
38902,Hala,"What Is Love? Tell Me, Is It Easy?",Spoonfed,1
99910,Laufey,Valentine,Everything I Know About Love,1
44052,Linkin Park,Shadow of the Day,Minutes to Midnight,1
11478,The Beatles,Taxman - 2022 Mix,Taxman (2022 Mix),1
11596,The Beatles,Dear Prudence - Remastered 2009,The Beatles (Remastered),1
11834,The Beatles,Baby It's You - Remastered 2009,Please Please Me (Remastered),1
56192,Valley,Like 1999,Last Birthday,1
38085,Arctic Monkeys,Cornerstone,Humbug,1
84659,The Beatles,Mean Mr Mustard - Remastered 2009,Abbey Road (Remastered),1
84431,The Monkees,I'm a Believer - Alternate Mix; 2006 Remaster,More of The Monkees (Deluxe Edition),1
11018,The Beatles,Let It Be - Remastered 2009,Let It Be (Remastered),1
11065,The Beatles,"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles (Remastered),1
84617,The Beatles,All You Need Is Love,Yellow Submarine Songtrack,1
70325,JJ Lin,背對背擁抱,JJ林俊傑100天,1
8805,10cc,Dreadlock Holiday,Bloody Tourists,1
84332,The Beatles,Eight Days A Week - Remastered 2009,Beatles For Sale (Remastered),1
11524,The Beatles,I'm Only Sleeping - Remastered 2009,Revolver (Remastered),1
11159,The Beatles,And I Love Her - Remastered 2009,A Hard Day's Night (Remastered),1
11471,The Beatles,"Hello, Goodbye - Remastered 2009",Magical Mystery Tour (Remastered),1
11276,The Beatles,A Day In The Life - Remastered 2009,Sgt. Pepper's Lonely Hearts Club Band (Remastered),1
80484,Jatin-Lalit;Kumar Sanu,Ae Kash Ke Hum,Kabhi Haan Kabhi Naa (Original Motion Picture Soundtrack),1
11436,The Beatles,Can't Buy Me Love - Remastered 2009,A Hard Day's Night (Remastered),1
38236,Dan Auerbach,The Prowl,Keep It Hid,1
11319,The Beatles,She Loves You - Mono / Remastered,1 (Remastered),1
84451,The Beatles,Because - Remastered 2009,Abbey Road (Remastered),1
11229,The Beatles,I Saw Her Standing There - Remastered 2009,Please Please Me (Remastered),1
84222,The Beatles,A Hard Day's Night - Remastered 2009,A Hard Day's Night (Remastered),1
38168,Arctic Monkeys,You're So Dark,One For The Road,1
11173,The Rolling Stones,Beast Of Burden - Remastered 1994,Some Girls,1
84405,The Beatles,If I Fell - Remastered 2009,A Hard Day's Night (Remastered),1
11717,The Beatles,Julia - Remastered 2009,The Beatles (Remastered),1
35036,Calcinha Preta,Hoje à Noite,"Hoje à Noite, Vol. 11 (Inéditas e ao Vivo)",1
11838,The Beatles,The Fool On The Hill - Remastered 2009,Magical Mystery Tour (Remastered),1
84130,The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered 2009,Rubber Soul (Remastered),1
11456,The Beatles,Don’t Let Me Down - First Rooftop Performance,Let It Be (Super Deluxe),1
